province,energy_type,generation_cagr_pct
新疆,光伏,22.329103411081075
内蒙古,光伏,22.329032839823636
广东,光伏,21.896804494566236
四川,光伏,20.100471258627795
江苏,光伏,19.854091578538345
云南,光伏,19.667138102023628
内蒙古,风电,15.11729253619074
江苏,风电,14.469080026153748
新疆,风电,14.32706845867422
广东,风电,14.20980805643326
云南,风电,12.677755334217512
四川,风电,10.25168484743999
新疆,水电,7.351847999503436
内蒙古,水电,6.559983229724686
广东,水电,5.854101403406564
江苏,水电,4.901298525100928
云南,水电,4.281236471868466
四川,水电,2.470267082189115
